DATE;WS2M;T2M;PRECTOTCORR;WS10M
01/01/1981;1,45;12,76;4,52;1,96
02/01/1981;1,44;13,34;1,9;2,02
03/01/1981;1,37;14,39;0,84;1,88
04/01/1981;1,32;14,12;0,17;1,85
05/01/1981;1,26;13,95;0,46;1,76
06/01/1981;1,4;14,28;1,72;1,93
07/01/1981;1,36;13,65;2,19;1,93
08/01/1981;1,05;12,94;1,32;1,42
09/01/1981;1,02;13,9;1,32;1,41
10/01/1981;1,57;13,87;4,49;2,16
11/01/1981;1,7;12,78;4,9;2,38
12/01/1981;1,72;12,59;13,04;2,38
13/01/1981;2,35;12,19;4,03;3,22
14/01/1981;1,42;12,37;0,39;1,91
15/01/1981;1,64;13,5;0,05;2,19
16/01/1981;1,55;13,71;1,22;2,15
17/01/1981;1,88;13,54;3,72;2,59
18/01/1981;2,09;13,47;2,11;2,84
19/01/1981;1,73;12,55;2,12;2,36
20/01/1981;2,34;12,94;1,19;3,15
21/01/1981;2,2;12,74;0,78;2,94
22/01/1981;2,39;12,62;1,14;3,25
23/01/1981;1,95;12,25;2,73;2,64
24/01/1981;1,63;12,25;0,71;2,2
25/01/1981;1,66;13,02;5,14;2,25
26/01/1981;1,18;14,07;2,21;1,65
27/01/1981;1,61;13,73;5,32;2,17
28/01/1981;1,48;13,01;2,28;2
29/01/1981;1,37;12,94;5,04;1,88
30/01/1981;1,29;13,51;14,27;1,82
31/01/1981;1,69;13,34;14,4;2,35
01/02/1981;1,1;12,81;10,03;1,53
02/02/1981;0,73;13,23;3,22;1,04
03/02/1981;1,15;13,37;12,31;1,59
04/02/1981;1,44;13,48;14,64;2,01
05/02/1981;1,48;13,21;3,9;2,02
06/02/1981;1,12;13,87;6,92;1,53
07/02/1981;1,41;13,73;3,31;1,95
08/02/1981;1,12;13,96;6,5;1,58
09/02/1981;0,77;13,36;6,9;1,1
10/02/1981;1,09;13,66;5,86;1,56
11/02/1981;2,33;13,81;21,32;3,22
12/02/1981;1,72;12,89;10,38;2,33
13/02/1981;1,91;12,7;4,75;2,52
14/02/1981;1,71;13,11;6,97;2,29
15/02/1981;1,65;12,69;1,64;2,16
