DATE;T2M_MAX;T2M_MIN;PRECTOTCORR;RH2M;PSC;WS10M;WD10M
01/01/1981;28;18,65;2,62;77,94;74,33;2,79;286,69
02/01/1981;28,9;18,55;1,25;75,12;74,36;2,95;259,94
03/01/1981;29,33;19,06;1,53;74,19;74,28;3,3;281,62
04/01/1981;29,54;18,91;0,18;73,44;74,28;3,6;271,94
05/01/1981;29,55;18,7;0,54;72,38;74,33;3,7;270,75
06/01/1981;29,89;19,05;2,82;74;74,29;3,62;283,81
07/01/1981;29,1;19,07;2,67;75,25;74,32;3,48;265,69
08/01/1981;27,65;19,14;1,43;79,25;74,3;3,07;267,88
09/01/1981;28,17;19,62;3,79;78,12;74,28;2,27;279,81
10/01/1981;28,07;19,49;6,3;79,62;74,35;3,16;285,44
11/01/1981;27,18;19,12;7,05;81,25;74,3;2,44;281,06
12/01/1981;25,61;19,58;28,48;85,75;74,25;2,55;299,38
13/01/1981;25,83;19,16;8,66;86,31;74,32;3,14;290,94
14/01/1981;27,03;18,46;1,24;81,31;74,39;2,48;263,25
15/01/1981;26,73;19,59;0,11;83;74,36;3,08;274,06
16/01/1981;26,37;19,26;1,15;82,69;74,34;2,97;273,69
17/01/1981;25,94;18,86;3,05;83;74,37;2,84;265,56
18/01/1981;26,4;18,99;2,79;83,12;74,43;3;276,56
19/01/1981;27,09;18,82;5,01;82;74,38;2,88;250
20/01/1981;27,67;18,84;1,68;80,44;74,38;3,23;256,88
21/01/1981;27,28;18,98;0,69;79,44;74,4;2,94;246,94
22/01/1981;27,4;19,36;1,21;78,31;74,44;2,34;273,12
23/01/1981;28,03;18,91;1,64;77,88;74,42;2,55;283,44
24/01/1981;27,15;18,88;1,53;79;74,38;2,73;259,12
25/01/1981;27,25;18,71;12,5;81,5;74,35;2,5;279,88
26/01/1981;27,37;18,77;6,03;82,31;74,32;3,23;298,5
27/01/1981;26,9;18,7;13,66;82,81;74,29;3,77;262,31
28/01/1981;26,4;18,62;3,22;82,81;74,34;3,52;256,94
29/01/1981;25,98;18,86;10,35;83,31;74,43;2,84;279,81
30/01/1981;27,15;18,83;36,08;85;74,37;2,81;290,19
31/01/1981;24,9;19,26;41,12;89,81;74,24;3,54;270,44
01/02/1981;24,32;18,97;27,33;89,25;74,24;3;260,19
02/02/1981;23,98;19,27;6,37;90,25;74,32;3,2;273,5
03/02/1981;26,08;18,86;27,42;88,38;74,32;3,3;270,38
04/02/1981;25,23;19,39;25,67;88,5;74,27;3,12;266
05/02/1981;25,3;19,44;9,4;88,38;74,29;3,06;272,19
06/02/1981;26,38;19,64;14,3;86,75;74,31;3,2;284,81
07/02/1981;26,05;19,4;7,11;87,25;74,34;3,09;275,31
08/02/1981;25,74;19,82;15,99;88,94;74,3;3,02;269,19
09/02/1981;25,16;19,6;23,13;90,56;74,3;2,91;295
10/02/1981;26,13;19,35;9,17;89,31;74,24;3,09;274,88
11/02/1981;25,88;19,94;32,75;89,31;74,33;3,47;253,88
12/02/1981;24,3;19,31;14,02;87,75;74,29;2,09;210,5
13/02/1981;26,01;19,51;7,83;83,38;74,35;1,73;234,19
14/02/1981;26,82;19,4;16,18;85,81;74,31;2,38;269,5
15/02/1981;26,49;19,25;3,85;86,62;74,28;2,64;272,5
16/02/1981;26,64;19,24;7,84;86,38;74,21;2,84;274,44
17/02/1981;25,96;19,75;2,69;88,69;74,16;2,73;295,88
18/02/1981;24,82;20,05;6,65;91,31;74,21;3,36;271,56
19/02/1981;26,56;20,14;15,99;88,94;74,25;3,67;268,38
20/02/1981;26,94;19,73;16,07;87,31;74,21;3,11;287,94
21/02/1981;25,17;19,91;13,4;89,62;74,15;3,41;282,25
22/02/1981;25,64;19,84;17,69;89,38;74,13;2,79;279,31
23/02/1981;26,19;20,29;6,47;90,12;74,1;3,7;295,62
24/02/1981;24,8;20,15;4,18;91,75;74,07;3,3;294,25
25/02/1981;26,68;19,83;1,62;89,56;74,09;3,41;302,5
26/02/1981;27,3;20,11;0,24;88,06;74,1;3,31;296,56
27/02/1981;27,71;20,55;21,64;88,56;74,12;3,35;273,81
28/02/1981;27,24;20,81;16,62;89,69;74,17;3,48;261,69
01/03/1981;27,65;20,57;8,53;87,88;74,16;3;282,44
02/03/1981;27,87;20,46;0,5;86,62;74,2;3,13;286,5
03/03/1981;28,53;20,16;19,22;85,31;74,2;2,84;291,5
04/03/1981;27,02;20,51;24,94;88,56;74,19;3,11;283,25
05/03/1981;27,12;20,44;10,27;86,88;74,25;3,34;268
06/03/1981;24,15;19,88;24,86;89,38;74,22;1,57;244,12
07/03/1981;26,12;20,12;18,43;88,19;74,25;2,27;272,75
08/03/1981;25,48;20,53;3,3;91,81;74,3;3,02;293,25
09/03/1981;25,37;20,55;16,05;90,75;74,38;2,71;303,44
10/03/1981;24,96;20,48;11,33;91,75;74,4;2,56;303,06
11/03/1981;24,19;20,09;5,89;93,12;74,36;2,45;281,75
12/03/1981;26,48;20,55;3,51;88,12;74,37;2,08;274,19
13/03/1981;25,79;20,61;2,27;89,25;74,38;2,24;246,75
14/03/1981;27;20,39;16,84;86,69;74,39;1,66;256,62
15/03/1981;27,83;20,74;7,85;85,75;74,39;2,55;235,31
16/03/1981;25,91;20,76;17,36;90,19;74,3;2,98;271,19
17/03/1981;24,95;19,98;6,73;88,19;74,34;2,43;269,38
18/03/1981;24,4;18,84;9,65;83,19;74,32;1,7;98,44
19/03/1981;26,97;19,62;35,18;82,75;74,34;2,19;276,31
20/03/1981;24,83;19,69;11,11;90,25;74,34;2,09;252,81
